Candidate,Party,Votes
PREMCHAND AGGARWAL,Bharatiya Janata Party,45082
RAJPAL SINGH KHAROLA,Indian National Congress,30281
SANDEEP GUPTA,Independent,17149
LALLAN BHARDWAJ RAJBHAR,Bahujan Samaj Party,2866
VIVEK TIWARI,Independent,889
RAJENDRA PRASAD GAIROLA,Uttarakhand Kranti Dal,344
VIJAYLAXMI GUSAIN,Independent,240
MOHIT KUMAR,Independent,230
GURUCHARAN,Nationalist Congress Party,217
RAM KRISHANA TIWARI,Sarv Vikas Party,168
USHA ASWAL,Independent,107
None of the Above,None of the Above,775
