Candidate,Party,Votes
SAHDEV SINGH PUNDIR,Bharatiya Janata Party,44055
KISHORE UPADHAYA,Indian National Congress,25192
ARYENDRA SHARMA,Independent,21888
LAXMI AGARWAL,Independent,8628
GAURAV PUNDIR,Independent,2963
PRAKASH JOSHI,Independent,1410
SHIV PRASAD DEVLI,Communist Party of India  (Marxist),1110
ILTAF,Bahujan Samaj Party,831
ADESH KUMAR,Sarv Vikas Party,520
MANJU SINGH,Rashtriya Lok Dal,401
RAM VACHAN RAM,Independent,332
OMPRAKASH SHARMA,Independent,315
SHASHTRI PAWAN MALETHA,Uttarakhand Kranti Dal (Democratic),294
CHAITANYA ANIL,Shivsena,165
None of the Above,None of the Above,673
