Candidate,Party,Votes
DHAN SINGH NEGI,Bharatiya Janata Party,20896
DINESH DHANAI,Independent,14056
NARENDRA CHAND RAMOLA,Indian National Congress,4466
SUSHIL CHANDRA BAHUGUNA,Hamari Janmanch Party,1067
SANJAY KUMAR MAITHANI,Independent,984
TRILOK SINGH NEGI,Independent,722
GOPAL DUTT CHAMOLI,Independent,585
BUDHI SINGH PUNDIR,Uttarakhand Kranti Dal,507
BHAGWAN SINGH RANA,Communist Party of India  (Marxist),285
GANESH KUDIYAL,Independent,180
SOMI LAL,Bahujan Samaj Party,133
None of the Above,None of the Above,476
