Candidate,Party,Votes
MUNNA SINGH CHAUHAN,Bharatiya Janata Party,38895
NAVPRABHAT,Indian National Congress,32477
VIPUL JAIN,Independent,2412
GIREESH KUMAR,Bahujan Samaj Party,594
SANDEEP DUBEY,Independent,499
DIGAMBAR SINGH,Uttarakhand Kranti Dal,392
RAJEEV KUMAR,Independent,369
GURUMEL SINGH,Independent,332
KAUSHAL KISHOR GAUTAM,Samajwadi Party,258
BHASKAR CHUG,All India Forward Bloc,197
ASHOK SINGH,Independent,103
DINESH KUMAR SHARMA,Independent,89
None of the Above,None of the Above,466
