Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Status
175-LUCKNOW CANTT.,175,DR. REETA JOSHI,Bharatiya Janata Party,APARNA YADAV,Samajwadi Party,33796,Result Declared
Agra Cantt. ,87,DR. GIRRAJ SINGH DHARMESH,Bharatiya Janata Party,GUTIYARI LAL DUWESH,Bahujan Samaj Party,46325,Result Declared
Agra North,89,JAGAN PRASAD GARG,Bharatiya Janata Party,ER. GYANENDRA GAUTAM,Bahujan Samaj Party,86320,Result Declared
Agra Rural ,90,HEMLATA DIWAKAR,Bharatiya Janata Party,KALICHARAN SUMAN,Bahujan Samaj Party,65296,Result Declared
Agra South,88,YOGENDRA UPADHYAYA,Bharatiya Janata Party,ZULFIQAR AHMAD BHUTTO,Bahujan Samaj Party,54225,Result Declared
Ajagara ,385,KAILASH NATH SONKAR,Suheldev Bhartiya Samaj Party,LALJI SONKAR,Samajwadi Party,21349,Result Declared
Akbarpur  ,281,RAM ACHAL RAJBHAR,Bahujan Samaj Party,RAM MURTI VERMA,Samajwadi Party,14013,Result Declared
Akbarpur - Raniya,206,PRATIBHA SHUKLA,Bharatiya Janata Party,NEERAJ SINGH,Samajwadi Party,28729,Result Declared
Alapur ,279,ANEETA,Bharatiya Janata Party,SANGEETA,Samajwadi Party,12513,Result Declared
Aliganj,103,SATYAPAL SINGH RATHAUR,Bharatiya Janata Party,RAMESHWAR SINGH YADAV,Samajwadi Party,13851,Result Declared
Aligarh,76,SANJEEV RAJA,Bharatiya Janata Party,ZAFAR ALAM,Samajwadi Party,15440,Result Declared
Allahabad North,262,HARSHVARDHAN BAJPAI,Bharatiya Janata Party,ANUGRAH NARAIN SINGH,Indian National Congress,35025,Result Declared
Allahabad South,263,NAND GOPAL GUPTA NANDI,Bharatiya Janata Party,PARVEZ  AHMAD,Samajwadi Party,28587,Result Declared
Allahabad West,261,SIDHARTH NATH SINGH,Bharatiya Janata Party,RICHA SINGH,Samajwadi Party,25336,Result Declared
Amanpur,101,DEVENDRA PRATAP,Bharatiya Janata Party,VIRENDRA SINGH SOLANKI,Samajwadi Party,41804,Result Declared
Amethi,186,GARIMA SINGH,Bharatiya Janata Party,GAYTRI PRASAD,Samajwadi Party,5065,Result Declared
