Candidate,Party,Votes
DR. GIRRAJ SINGH DHARMESH,Bharatiya Janata Party,113178
GUTIYARI LAL DUWESH,Bahujan Samaj Party,66853
MAMTA KAUDAN,Samajwadi Party,64683
SUBHASH CHAND,Independent,1236
AVDESH SINGH ( RAMU SUMAN),Rashtriya Lok Dal,1145
HARI KISHAN,Independent,935
RAKESH KUMAR,Peace Party,868
UMESH CHAND,Ambedkarite Party of India,763
VISHAL KUMAR,Independent,719
RAJVEER SINGH,Independent,440
RAJKUMAR SINGH,Jan Adhikar Manch,267
OMPRAKASH,Bhartiya Sarvodaya Party,222
PRADEEP VERMA,Independent,198
BABITA SINGH MAURYA,Rashtriya Samanta Dal,124
None of the Above,None of the Above,1185
