Candidate,Party,Votes
YOGENDRA UPADHYAYA,Bharatiya Janata Party,111882
ZULFIQAR AHMAD BHUTTO,Bahujan Samaj Party,57657
NAZIR AHMED,Indian National Congress,39434
THOMSAN MASSEY,Independent,979
PRADEEP KUMAR SRIVASTAVA,Independent,800
ANJALI BHARGAVA,Mahila Sashaktikaran Party,559
MAHIPAL SINGH,Independent,522
ALOK KUMAR,Independent,470
CH. GOPAL SINGH DHAKED,Independent,464
HARISH CHANDRA,Independent,428
MUSTAKEEM,Independent,420
LOKENDRA SHARMA,Independent,349
RAMBRIJ YADAV,Independent,254
NASIR ABBAS,Bharatiya Karyasth Sena,244
KRISHAN GOPAL UPADHYAY,Peace Party,239
IDARISH,All India Majlis-E-Ittehadul Muslimeen,232
SAROJ KUMARI,Independent,196
RENU SETHI,Independent,194
ROHIT SINGH DHAKAD,Rashtriya Lok Samta Party,177
SANJAY GARG,Independent,161
PADMA AGRAWAL,Brij Kranti Dal,154
SHYAM SUNDAR,Bahujan Mukti Party,149
ASHRAF QURESHI,Independent,145
ATUL KUMAR,Jan Adhikar Manch,133
LAKSHMAN PRASAD RAJORA,Independent,117
DEREK SMITH,Adarsh Samaj Party,113
None of the Above,None of the Above,753
