Candidate,Party,Votes
KAILASH NATH SONKAR,Suheldev Bhartiya Samaj Party,83778
LALJI SONKAR,Samajwadi Party,62429
TRIBHUVAN RAM,Bahujan Samaj Party,52480
ARTI,Independent,8639
SAURABH KUMAR,Independent,3539
AMAR NATH,Nationalist Congress Party,1470
RAJESH,Rashtriya Lok Dal,1288
SHASHIKANT,Ambedkar Samaj Party,1196
MAHENDRA PRATAP GAUTAM,Mahakranti Dal,954
SADANAND PRASAD,Independent,835
LALATA,Bhartiya Samajik Kranti Dal,452
VIDYA DEVI,Bahujan Mukti Party,448
None of the Above,None of the Above,2350
