Candidate,Party,Votes
RAM ACHAL RAJBHAR,Bahujan Samaj Party,72325
RAM MURTI VERMA,Samajwadi Party,58312
CHANDRA PRAKASH VERMA,Bharatiya Janata Party,57821
SHRIRAM,Nirbal Indian Shoshit Hamara Aam Dal,6550
RAVI SINHA,Independent,1528
TIGER RAM NIHOR PATEL,Independent,1475
RAJA RAM NISHAD,Communist Party of India  (Marxist),976
NAND KUMAR TIWARI RANA,Shivsena,800
SAROJ SHARMA,Moulik Adhikar Party,704
RAGHUNATH,Independent,702
SRIRAM VERMA,Independent,625
NAND LAL 'BHARTI',Bahujan Mukti Party,430
RAJESH KUMAR,Janvadi Party(Socialist),349
None of the Above,None of the Above,1719
