Candidate,Party,Votes
PRATIBHA SHUKLA,Bharatiya Janata Party,87430
NEERAJ SINGH,Samajwadi Party,58701
DR. SATISH SHUKLA,Bahujan Samaj Party,45761
VIJAY LAXMI,Lok Dal,2313
BALVAN SINGH,Rashtriya Lok Dal,1717
SURENDRA KUMAR GUPTA,Jan Adhikar Manch,1191
LALIT KUMAR,Peace Party,1070
DEEPENDRA SINGH CHAUHAN,Independent,907
ANAND AWASTHI,Bhartiya Shakti Chetna Party,790
PRATIBHA,Independent,721
ABDUL SATTAR,Bahujan Mukti Party,573
SHANTEE,Shoshit Samaj Dal,392
RAMCHANDRA,Vikas Party,315
RAMPRAKASH KUSHWAHA,Al-Hind Party,228
None of the Above,None of the Above,1098
