Candidate,Party,Votes
SATYAPAL SINGH RATHAUR,Bharatiya Janata Party,88695
RAMESHWAR SINGH YADAV,Samajwadi Party,74844
AWADHPAL SINGH YADAV,Bahujan Samaj Party,46275
HARVESH,Independent,1305
RAM KISHORE,Mahan Dal,1070
SUKHVIR,Independent,998
MUKESH,Independent,604
RAM BRIJESH,Independent,305
PHOOL SINGH,Independent,265
OMPAL SINGH YADAV,Independent,186
RAGHVEDRA SINGH,Independent,169
DILIP KUMAR,Independent,124
GURUDEV SINGH,Independent,100
KAMLESH MISHRA,Independent,82
None of the Above,None of the Above,1572
