Candidate,Party,Votes
HARSHVARDHAN BAJPAI,Bharatiya Janata Party,89191
ANUGRAH NARAIN SINGH,Indian National Congress,54166
AMIT,Bahujan Samaj Party,23388
BADAL CHATTERJEE,Independent,980
DHIRAJ KUMAR AGRAWAL,Independent,557
AJAY KUMAR,Republican Party of India (A),492
PRAVEEN KUMAR SRIVASTAVA,Independent,445
INDRESH KUMAR SONKAR,Independent,443
PUSHPENDRA KUMAR,Independent,433
SUNIL KUMAR GUPTA,Bharat Kranti Rakshak Party,256
SHAURYA DEEP,Independent,252
SHAILENDRA KUMAR PRAJAPATI,Independent,225
ABHINAV SRIVASTAVA,Independent,214
ANSHU TRIPATHI,Independent,197
ASHUTOOSH BAJPAI,Sarvajan Kalyan Loktantrik Party,195
VINDESHWARI PRASAD,Shivsena,176
MRIGANK SHEKHAR SINGH,Lok Gathbandhan Party,133
MADHU SINGH,Independent,115
RAJESH YADAV,Independent,112
UMESH CHANDRA,Bahujan Awam Party,107
SUNIL KUMAR,Bahujan Mukti Party,102
RAMAKANT,Independent,99
BHAIYA RAM YADAV,Independent,87
RITESH KUMAR,Independent,80
SHARAD KHARE,Rashtravadi Pratap Sena,75
UDAI BHAN SRIVASTAVA,Rashtriya Bandhutwa Party,63
None of the Above,None of the Above,659
