Candidate,Party,Votes
NAND GOPAL GUPTA NANDI,Bharatiya Janata Party,93011
PARVEZ  AHMAD,Samajwadi Party,64424
MASOOQ KHAN,Bahujan Samaj Party,12162
AQEELUR RAHMAN,Peace Party,872
SYED AFZAAL MUZIB,All India Majlis-E-Ittehadul Muslimeen,868
SATISH KESHARWANI,Rashtriya Apna Dal,801
SHIV SHARAN,Independent,672
AMIR HBIB,Communist Party of India,583
SAVITA SAHOO,Independent,429
ARUNESH JAISWAL,Rashtriya Lok Dal,396
SATYENDRA KUMAR KUSHWAHA,Republican Party of India,277
RAMA NAND SHUKLA,Nirbal Indian Shoshit Hamara Aam Dal,275
RAIS AHMAD KHAN,Parivartan Samaj Party,242
GAURAV PANDEY,Shivsena,223
SANJAY SINGH,Independent,209
RAMESH CHANDRA BHARTIYA,Bahujan Mukti Party,194
DEVENDR KUMAR TIWARI,Independent,183
SAMAR BAHADUR SHARMA,Pragatisheel Samaj Party,168
RAMESH CHANDRA,Sarvodaya Bharat Party,160
KAMALA PRASAD,Ambedkar Yug Party,126
SHIV PRASAD VERMA,Independent,123
None of the Above,None of the Above,665
