Candidate,Party,Votes
SIDHARTH NATH SINGH,Bharatiya Janata Party,85518
RICHA SINGH,Samajwadi Party,60182
POOJA PAL,Bahujan Samaj Party,40499
HASAN AKHLAQ,Independent,4018
CHANDRA DEV SINGH,Nirbal Indian Shoshit Hamara Aam Dal,2974
REETA DEVI,Independent,1000
SUNIL KUMAR,Rashtriya Lok Dal,999
RAJENDRA KUMAR,Independent,435
GANESH JI,Independent,368
RAJ KUMAR SRIVASTAVA,Vikas Party,307
NADIM AHAMAD,Awami Vikas Party,280
NIZAMUDDIN,Independent,250
DAKKHINI PRASAD,Pragatisheel Samaj Party,203
None of the Above,None of the Above,1659
