Candidate,Party,Votes
GARIMA SINGH,Bharatiya Janata Party,64226
GAYTRI PRASAD,Samajwadi Party,59161
RAM JI,Bahujan Samaj Party,30175
AMEETA SINH,Indian National Congress,20291
BHAGWANDEEN,Independent,1331
KESH KUMARI,Independent,1245
KAILASH YADAV,Independent,1178
RAMBARAN,Independent,994
RAMKUMAR,Independent,861
GANESH KUMAR,Bahujan Mukti Party,840
HARI OM,Independent,782
RAJENDRA PRASAD,Independent,699
KIRAN,Independent,637
KIRAN DEVI,Bhartiya Krishak Dal,634
BABU LAL,Lok Dal,515
MATHURA,Independent,505
SHIV NARAYAN,Independent,501
KAMLESH,Independent,485
SHAILENDRA KUMAR SINGH,Independent,400
NATHU RAM,Janvadi Party(Socialist),385
VED PRAKASH,Independent,345
SANTOSH KUMAR MISHRA,Rashtriya Janshanti Party,305
RAJESH PRAJAPATI,Jan Adhikar Party,281
REETA CHAUHAN,Bharat Nyay Dal,247
None of the Above,None of the Above,694
