Candidate,Party,Votes
SUSHIL KUMAR SHAKYA,Bharatiya Janata Party,93502
NARENDRA SINGH YADAV,Samajwadi Party,52995
ARUN KUMAR MISHRA,Bahujan Samaj Party,16500
SHISHU PRATAP SINGH,Independent,3252
SANJAY SOMBANSHI,Jan Adhikar Manch,2091
BRIJENDRA SINGH,Rashtriya Lok Dal,1286
ASIF MIRZA,Poorna Swaraj Manch,891
BANKELAL,Independent,641
PRADEEP KUMAR,Lok Dal,613
PUNEET KUMAR,Independent,521
RAJEEV,Independent,423
RAGHUVEER SINGH GANGWAR,Akhil Bharat Hindu Mahasabha,347
UMESH KUMAR,Bharatiya Subhash Sena,328
None of the Above,None of the Above,1250
