Candidate,Party,Votes
MEHBOOB ALI,Samajwadi Party,74713
NAUSHAD ALI,Bahujan Samaj Party,59671
DR. KUNWAR SAIN SAINI,Bharatiya Janata Party,45420
SALEEM KHAN,Rashtriya Lok Dal,14132
SHAMEEM AHMAD,All India Majlis-E-Ittehadul Muslimeen,2861
MOHD SHOEB,Rashtriya Kisan Majdoor Party,1050
MOHD HASEEN,Independent,786
SHASHI,Independent,497
MOHD RIZWAN,Peace Party,384
YASIR ABDULLA,Independent,235
BHOLEY,Independent,149
DHARMVEER SINGH SAINI,Independent,144
KHUSHREED AHMAD,Independent,116
None of the Above,None of the Above,1219
