Candidate,Party,Votes
SANDEEP KUMAR SINGH,Bharatiya Janata Party,115397
VIRESH YADAV,Samajwadi Party,64430
ILIYAS CHAUDHARY,Bahujan Samaj Party,45041
MANOJ KUMAR YADAV,Rashtriya Lok Dal,1051
AVDHESH KUMAR,Bharatiya Subhash Sena,931
ABID ALI,Independent,766
DINESH KUMAR,Independent,674
PREM SHRI YADAV,Rashtriya Parivartan Dal,644
DHARMENDRA KUMAR,Rashtriya Kranti Party,598
LAKHAN SINGH,Independent,438
BHAGVAN DAS,Swatantra Jantaraj Party,356
NISHA RAJ,Sarv Sambhaav Party,355
SUBHASH CHANDRA PALI,Sarva Samaj Kalyan Party,335
ANSHUL BHARDUAJ,Rashtriya Sawarn Dal,250
None of the Above,None of the Above,1325
