Candidate,Party,Votes
DINANATH BHASKAR,Bharatiya Janata Party,83325
MADHUBALA PASI,Samajwadi Party,63546
BAIJNATH GAUTAM,Bahujan Samaj Party,49059
SURESH KUMAR PASI,Nirbal Indian Shoshit Hamara Aam Dal,3511
GULAB BANVASI,Pragatisheel Manav Samaj Party,949
GYANENDRA DHRUW (DHURWE JI),Gondvana Gantantra Party,941
RANJU RATNA SAROJ,Lok Dal,742
SUMAN DEVI,Uttar Pradesh Republican Party,566
VIJAY SINGH PAL,Rashtriya Samaj Paksha,554
RADHESHYAM INSAN,Bhartiya Republican Party (Insan),353
None of the Above,None of the Above,2480
