Candidate,Party,Votes
VIKAS GUPTA,Bharatiya Janata Party,81203
AYODHYA PRASAD,Samajwadi Party,29238
RAMBAHADUR,Bahujan Samaj Party,27365
ABBAS MEHNDI,Peace Party,2159
DEV KUMAR,Rashtriya Lok Dal,1708
SUKHRAJ,Independent,1691
HEMLATA,Independent,1526
BHOLA NATH,Independent,953
B.L.RAI,Independent,823
RAMRAJ,Independent,788
KRISHNA PAL AWASTHI,Independent,458
RAJ KUMAR,Independent,448
HORALAL,Bharat Kranti Rakshak Party,358
CHHOTELAL,Pragatisheel Manav Samaj Party,333
KRISHNA PAL,Independent,283
None of the Above,None of the Above,1600
