Candidate,Party,Votes
VED PRAKASH GUPTA,Bharatiya Janata Party,107014
TEJ NARAYAN PANDEY ALIAS PAWAN PANDEY,Samajwadi Party,56574
MO. BAZMI SIDDEKE,Bahujan Samaj Party,39554
BANSHI LAL YADAV,Bahujan Mukti Party,5661
SUSHIL JAISWAL,Adhikar Party,1635
SURYAKANT PANDEY,Communist Party of India,1353
DR. RIPUNJAY SINGH,Adarshwaadi Congress Party,737
DHARMENDRA KUMAR UPPADHYAY,Rashtriya Lok Dal,644
DEVKI NANDAN MAURYA,Jan Adhikar Party,585
MAHESH KUMAR NISHAD,Janvadi Party(Socialist),532
RADHE SHYAM SHRIVASTAVA,Independent,492
PRADEEP KUMAR KORI,Republican Party of India (A),406
DEELIP CHAUDHARI,Moulik Adhikar Party,398
AKHILESH KUMAR ALIAS AKHILESH CHATURVEDI,Communist Party of India  (Marxist-Leninist)  (Liberation),359
None of the Above,None of the Above,1544
