Candidate,Party,Votes
RAM NARESH RAWAT,Bharatiya Janata Party,65324
SHAHAB SHARAN,Indian National Congress,43015
SHYAM SUNDAR,Bahujan Samaj Party,33582
SUSHIL PASI,Independent,23271
RAM LAL AKELA,Rashtriya Lok Dal,21694
HARISHCHANDRA,Independent,1527
CHANDIKA,Rashtriya Jan  Adhikar Party,1346
SANT SHARAN,Independent,1032
RAM LAKHAN,Independent,840
RAM NARESH,Peace Party,783
CHANDRA KALI,Independent,724
MANJU DEVI,Manavtawadi Samaj Party,578
GURU PRASAD,Independent,573
SATYESH KUMAR,Jan Adhikar Party,533
None of the Above,None of the Above,3325
