Candidate,Party,Votes
MAHESH CHANDRA GUPTA,Bharatiya Janata Party,87314
ABID RAZA KHAN,Samajwadi Party,70847
BHUPENDRA SINGH,Bahujan Samaj Party,32641
RAMSEWAK SINGH PATEL,Shivsena,14576
SATISH CHANDRA,Independent,1127
KHALID PERVAIZ,All India Majlis-E-Ittehadul Muslimeen,883
HARINDRA SINGH YADAV,Independent,848
AMARJEET SINGH,Bhartiya Bhaichara Party,699
SACHIN PATHAK,Prajashakti Party Samdarshi,619
MUZAFFAR ALI KHAN,Independent,490
ABINAV RAJ,Independent,421
ARUN PRAKASH GUPTA,Independent,273
MAHESH KUMAR SHRIVASTAVA,Kalyankari Jantantrik Party,258
KRISHAN PAL,Bharatiya Subhash Sena,240
None of the Above,None of the Above,1509
