Candidate,Party,Votes
RAMESH CHANDRA MISHRA,Bharatiya Janata Party,60237
LALJI YADAVA,Bahujan Samaj Party,57865
OMPRAKASH 'BABA' DUBEY,Samajwadi Party,46545
SABHAPATI,Nirbal Indian Shoshit Hamara Aam Dal,15565
MRIGENDRA SINGH ALIAS SHIVBABA,Rashtriya Lok Dal,3763
PARITOSH,Shivsena,1078
SANTOSH KUMAR YADAV,Independent,809
JAI NARAYAN MAURYA,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),779
ANIL KUMAR SINGH,Hum Sabki Party,778
ASHFAK,Lok Dal,556
ANJANA SINGH,Rashtriya Shahri Vikas Party,368
ARVIND KUMAR SHUKLA,Bhartiya Nav Vikas Party,341
MO..KASIM,National Democratic Peoples Front,294
None of the Above,None of the Above,1612
