Candidate,Party,Votes
YOGESH DHAMA,Bharatiya Janata Party,92566
AHMED HAMEED,Bahujan Samaj Party,61206
KARTAR SINGH BHADANA,Rashtriya Lok Dal,21751
DR.KULDEEP UJJWAL,Indian National Congress,19091
VIKAL SHARMA,Independent,609
ASHISH TYAGI,Independent,508
KURBAN,Sarvjan Samta Party,477
PANKAJ KUMAR SINGH,Independent,333
GEETA KASHYAP,Sarv Sambhaav Party,311
NORAJ SINGH,Bhartiya Tarak Samaj Party,227
MAKASUD,Ittehad-E-Millait Council,207
PRAMOD ALIAS PRAMOD KUMAR GOSWAMI,Bhartiya Naujawan Inklav Party,204
SOHANVEER SINGH BAUDH,Bahujan Mukti Party,169
None of the Above,None of the Above,954
