Candidate,Party,Votes
RANI PAKSHALIKA SINGH,Bharatiya Janata Party,80567
MADHUSUDAN SHARMA,Bahujan Samaj Party,57427
HANSKALI ALIAS ANSHU RANI NISHAD,Samajwadi Party,46885
SUDHIR DUBEY,Rashtriya Lok Dal,1665
RAMENDRA SINGH,Independent,1225
RAMBARAN,Independent,630
BRIJENDRA SINGH,Independent,513
MADHURI SINGH,Rashtriya Lok Samta Party,447
RAMAKANT SAVITA,Independent,415
PRADEEP GARG,Independent,182
SUNIL KUMAR,Nirbal Indian Shoshit Hamara Aam Dal,177
BASUDEV SHARMA,Bharatiya Subhash Sena,154
SOBARAN SINGH,United National Party,146
KARAN SINGH,Independent,139
None of the Above,None of the Above,2214
