Candidate,Party,Votes
CHHATRA PAL SINGH,Bharatiya Janata Party,108846
NASEEM AHMAD,Bahujan Samaj Party,66009
ATA UR REHMAN,Samajwadi Party,63841
UBAID ULLAH KHAN,Mahan Dal,2658
SATISH CHANDRA,Independent,977
MANJOOR AHMED,Independent,836
RAKESH KUMAR,Rashtriya Kisan Majdoor Party,718
PRIYAVAN GANGWAR,Rashtriya Lok Dal,618
FAUZUL,Independent,404
SMT ANUPAMA MAURYA,Jan Adhikar Manch,335
DHARAM PAL,Bharatiya Subhash Sena,327
CHINTA MANI,Independent,316
JAMEER AHMAD,Jan Shakti Ekta Party,226
DUSHYANT KUMAR,Independent,195
None of the Above,None of the Above,1479
