Candidate,Party,Votes
ANUPMA JAISWAL,Bharatiya Janata Party,87479
RUBAB SAYEDA,Samajwadi Party,80777
AJEET PRATAP SINGH,Bahujan Samaj Party,36325
ROSHAN LAL,Independent,1191
RUSTAM ALI SAIDA,Nationalist Congress Party,1005
MOHD.SHAKIL,Peace Party,750
INDRA KUMAR,Rashtriya Kisan Majdoor Party,669
JUBAIR AHMAD,Independent,665
RAJWANT SINGH,Shivsena,553
RAM PHERAN,Bharatrashtra Democratic Party,541
MOHD. USMAN KHAN,Independent,466
FARRUKH AFZAL,Naitik Party,350
None of the Above,None of the Above,2604
