Candidate,Party,Votes
SURENDRA,Bharatiya Janata Party,64868
JAY PRAKASH ANCHAL,Samajwadi Party,47791
JAVAHAR,Bahujan Samaj Party,27974
ASHANI SINGH,Independent,6122
MANOJ,Independent,5946
SANJAY,Independent,2197
BARMESHWAR,Rashtriya Lok Dal,934
SANTOSH,Independent,926
GOPAL,Bahujan Mukti Party,820
SUCHIT,Gondvana Gantantra Party,759
VIKRAMADITYA,Independent,657
ANIL,Independent,595
LALIT,Independent,451
JANARDAN,Independent,388
BHARAT,Purvanchal Janta Dal,335
ROHIT KUMAR SINGH,Poorvanchal People's Party,288
MOHAN,Bharat Kalyan Party,287
None of the Above,None of the Above,762
