Candidate,Party,Votes
AVINASH TRIVEDI,Bharatiya Janata Party,96482
NAKUL DUBEY,Bahujan Samaj Party,78898
GOMTI YADAV,Samajwadi Party,74995
RAJENDRA PRASAD YADAV,Lok Dal,4283
CHOTELAL,Communist Party of India  (Marxist),1932
ANNPURNA JAUHARI,Param Digvijay Dal,1137
DINESH KUMAR SHUKLA,Independent,1133
CHHAYA ASTHANA,Bhartiya Shakti Chetna Party,951
SUNIL KUMAR,Rashtriya Janadhar  Party,852
AJEET KUMAR,Independent,686
RAKES YADAV RANA,Manuvadi Party,600
ANOOP KUMAR,Rashtriya Shahri Vikas Party,542
None of the Above,None of the Above,2271
