Candidate,Party,Votes
RAM PAL VERMA,Bharatiya Janata Party,74917
NEELU SATYARTHI,Bahujan Samaj Party,52029
SUSHILA SAROJ,Samajwadi Party,43507
SURENDRA KUMAR,Jan Adhikar Manch,7734
DILIP MANJHI,Sarv Sambhaav Party,1165
RAJESWARI,Rashtriya Lok Dal,1087
NAWAL KISHOR,Independent,1003
DR. ASHOK KUMAR,Uttar Pradesh Republican Party,868
HARI KARAN,Independent,781
ARUN KUMAR,Independent,688
BHAGWAN DEEN,Bharatiya Subhash Sena,668
PAPPU,Bahujan Mukti Party,632
TILAK CHANDRA,Lok Dal,544
PANKAJ KUMAR,Bhartiya Krishak Dal,369
None of the Above,None of the Above,2005
