Candidate,Party,Votes
ANAND,Bharatiya Janata Party,92889
LAXMAN,Samajwadi Party,52878
NARAD,Bahujan Samaj Party,31515
RAMJI,Independent,1432
ARVIND KUMAR GOND,Gondvana Gantantra Party,1047
SHAILESH,Communist Party of India  (Marxist),878
MITHILESH KUMAR PANDEY,Rashtriya Lok Dal,779
DR SYED SHUAIBUL ISLAM,Independent,746
SUNIL,Independent,468
RADHA KRISHN,Independent,429
SURENDRA PRASAD,Independent,378
SUNITA DEVI,Bahujan Mukti Party,319
LACHHUMAN,Naitik Party,240
MADAN LAL VERMA,Jan Adhikar Party,228
None of the Above,None of the Above,1716
