Candidate,Party,Votes
PRAKASH DWIVEDI,Bharatiya Janata Party,83169
MADHUSUDAN KUSHWAHA,Bahujan Samaj Party,50341
VIVEK KUMAR SINGH,Indian National Congress,32223
MOHD. ASLAM,Independent,2736
SHYAM SUNDER SINGH,Communist Party of India,1953
VIMAL KRISHAN,Sarv Sambhaav Party,1642
MOHD. IRFAN,Independent,1399
RAM PRAKASH,Jan Adhikar Party,1099
RAVINDRA NATH GUPTA,Rashtriya Lok Dal,991
GULAB CHANDRA KUSHWAHA,Bhartiya Shakti Chetna Party,861
KAMTA PRASAD TRIVEDI,Independent,673
RAM PRAVESH YADAV,Communist Party of India  (Marxist-Leninist)  (Liberation),576
RAMAUTAR,Bahujan Mukti Party,530
GYANENDRA SRIVASTAVA,Independent,515
SANJEEV GUPTA,Independent,476
RAMESH KUMAR,Swatantra Jantaraj Party,476
AMIT,Shivsena,434
RAMSHARAN,Independent,339
RANJEET,Lok Dal,324
MOHD. TAUFIQUE,Ambedkar Samaj Party,300
RAVIKANT,Jan Adhikar Manch,298
None of the Above,None of the Above,979
