Candidate,Party,Votes
KULDEEP SINGH SENGAR,Bharatiya Janata Party,87657
BADALOO KHAN,Samajwadi Party,59330
MOHD IRASHAD KHAN,Bahujan Samaj Party,44730
SUNDAR LAL,Independent,1504
SHREE KANT VERMA,Rashtriya Lok Dal,1281
MANOJ KUMAR,Independent,1114
YADUNANDAN PRASAD,Independent,1079
SHAILENDRA KUMAR ALIAS SHAILENDRA SINGH,Nirbal Indian Shoshit Hamara Aam Dal,967
KAUSHALENDRA SINGH,Bharatiya Subhash Sena,445
MANISH KUMAR,Independent,394
FAIZ UR REHMAN,Independent,388
RAJESH KUMAR,Hindustan Krantikari Dal,355
RAJENDRA KUMAR,Bhartiya Shakti Chetna Party,353
GULISTAN KHAN,Peace Party,303
BABU RAM,Manavtawadi Samaj Party,291
None of the Above,None of the Above,1873
