Candidate,Party,Votes
RAM GOVIND CHAUDHERI,Samajwadi Party,51201
KETAKEE SINGH,Independent,49514
ARVIND RAJBHAR,Suheldev Bhartiya Samaj Party,40234
SHIVSHANKAR,Bahujan Samaj Party,38745
NIRAJ SINGH GUDU,Lok Dal,10315
ARVIND,Independent,6080
JAWAHIR,Independent,2718
PUNAM,Independent,1684
SANJAY KUMAR SINGH,Bharatiya Jan Kranti Dal (Democratic),1244
RAMESH PANDEY (BABLU JI),Rashtriya Lok Dal,1171
CHHOOTTU PRASAD GUPTA,Parivartan Samaj Party,1164
PRAMOD PASWAN,Independent,770
JAIRAM,Independent,755
RAJESH,Jan Adhikar Party,735
AMARJIT KUMAR SINGH,Independent,710
DHARMENDRA,Independent,697
RAJEEV,Independent,688
SANGRAM SINGH,Independent,590
None of the Above,None of the Above,918
