Candidate,Party,Votes
JAI PRATAP SINGH,Bharatiya Janata Party,77548
LAL JI,Samajwadi Party,58606
LALCHANDRA NISHAD,Bahujan Samaj Party,35425
RAMSURESH,Sabka Dal United,2391
KIRAN,Rashtriya Lok Dal,2304
MO. UMAR,Independent,2019
MANOJ KUMAR GUPTA,Independent,1461
ARVIND KUMAR SHUKLA,Bahujan Maha Party,836
SHIV KUMAR,Bharatiya Subhash Sena,650
ARJUN,Independent,635
SURESH,Bharatiya Eklavya Party,434
KAMLESH,Ojaswi Party,290
JAWAHAR LAL,Bahujan Mukti Party,274
None of the Above,None of the Above,1641
