Candidate,Party,Votes
DHARMRAJ SINGH YADAV URF SURESH YADAV,Samajwadi Party,99453
SURENDRA SINGH,Bahujan Samaj Party,69748
HAR GOVIND SINGH,Bharatiya Janata Party,67112
BRIJESH KUMAR,Rashtriya Lok Dal,1244
ARJUN SINGH,Peace Party,1221
DEEPAK YADAV,Independent,941
ANIL KUMAR,Eklavya Samaj Party,712
MOHD. ABUL KALAM QURESHI URF MOHD.KALAM,All India Majlis-E-Ittehadul Muslimeen,708
SANJAY KUMAR BALMIKI,Independent,635
AMARDEEP SINGH,Independent,457
SURESH CHANDRA SRIVASTAVA,Bharatiya Subhash Sena,452
SUNEEL KUMAR,Bahujan Mukti Party,432
MOHD. AFTAB,Lok Gathbandhan Party,321
MOHD. SAMI,Dr. Bhimrao Ambedkar Dal,237
None of the Above,None of the Above,1622
