Candidate,Party,Votes
RAJESH AGARWAL,Bharatiya Janata Party,88441
MUJAHID HASSAN KHAN,Indian National Congress,75777
RAJENDRA PRASAD GUPTA,Bahujan Samaj Party,14239
ATUL SAXENA,Rashtriya Lok Dal,819
RABIYA AKHTAR,Peace Party,698
KAMAL KISHOR BALMEEKI,Independent,619
JAI PRAKASH SAXENA,Pragatisheel Lok Manch,488
MANJEET SINGH,Ittehad-E-Millait Council,459
VIJAY KUMAR,Shivsena,332
SUSHEEL KUMAR GAUTAM,Bahujan Mukti Party,260
PRIYANKA KHANDELWAL,Jan Shakti Ekta Party,237
None of the Above,None of the Above,1061
