Candidate,Party,Votes
DR. ARUN KUMAR,Bharatiya Janata Party,115010
PREM PRAKASH AGARWAL,Indian National Congress,86343
ER. ANEES AHAMAD KHAN,Bahujan Samaj Party,14588
TARKESHWAR CHATURVEDI,Communist Party of India,1754
AQEEL AHMAD KHAN,Peace Party,1073
SYED RASHID ALI,Independent,800
IQTAIDAR UDDIN,Rashtriya Lok Dal,643
MADHVI SAHU,Independent,591
RANJIT,Independent,513
SARTAJ ALVI,All India Forward Bloc,413
ARSHAD ALI KHAN,Independent,379
AMIT KHANDELWAL,Jan Shakti Ekta Party,345
None of the Above,None of the Above,1421
