Candidate,Party,Votes
SURESH TIWARI,Bharatiya Janata Party,61996
MURLI MANOHAR JAISWAL,Bahujan Samaj Party,50280
PURNENDU TIWARI URF P.D.TIWARI,Samajwadi Party,27761
GIRENDRA PRATAP YADAV,Independent,18489
JAI PRAKASH KUSHWAHA,Communist Party of India,2106
DR. CHATURANAN OJHA,Independent,1277
SURESH SINGH YADAV,Rashtriya Lok Dal,1002
JAI PRAKASH URF SWAMIJI,Bhartiya Shakti Chetna Party,821
BIJAI SHANKAR SINGH KAUSHIK,Hindustan Janmorcha,793
CHHOTELAL TIWARI,Sarv Sambhaav Party,787
HAREKRISHAN SINGH VISHEN,Samajwadi Samaj Party,787
KLECTOR SHARMA,Communist Party of India  (Marxist-Leninist)  (Liberation),459
RAJESH KUMAR YADAV,Mahakranti Dal,371
RAIN MISHRA URF DIMPU,Manuvadi Party,361
None of the Above,None of the Above,1338
