Candidate,Party,Votes
SUSHANT KUMAR,Bharatiya Janata Party,78744
HUSAIN AHMAD,Indian National Congress,68920
FAHAD YAZDANI,Bahujan Samaj Party,50684
DR INDRA DEV SINGH,Independent,6190
RADHA,Rashtriya Lok Dal,3449
KULVEER SINGH,Independent,3164
NIHAL SINGH,Bhartiya Harit Party,1586
ABID ANSARI,Independent,1468
TAHIR HUSAIN,Independent,1110
NIRMAL MISHRA,Independent,963
AJAY KUMAR,Gareeb Kranti Party,845
MONIKA AHLAWAT,Independent,748
ROHITASH,Independent,596
BIRJESH,Peace Party,562
CHANDRA SHEKHAR,Independent,524
GAJALA TAUSIF,Independent,409
JAYPAL SINGH,Independent,358
TODA SINGH,Bharatiya Subhash Sena,345
SAMLESH SAINI,Rashtriya Lok Samta Party,277
SHAILENDRA PRATAP,Independent,253
MUKUL,Independent,206
SADHANA SINGH,Independent,192
None of the Above,None of the Above,556
