Candidate,Party,Votes
KISHAN LAL RAJPOOT,Bharatiya Janata Party,104595
HEMRAJ VERMA,Samajwadi Party,46665
DR. SHAILENDRA SINGH GANGWAR,Bahujan Samaj Party,28674
JAIDRATH ALIAS PRABAKTANAND,Rashtriya Lok Dal,22631
NIRANJAN SINGH,Rashtriya Kisan Majdoor Party,1797
SURYA PRAKASH,Independent,1103
SANTRAM VERMA,Independent,1044
KISHAN LAL,Bharatiya Subhash Sena,822
NARAYAN LAL,Independent,643
SARBAZ AHMAD,Sarv Sambhaav Party,633
AASHIF BEG,Independent,453
KEERAT PRASAD,Bahujan Mukti Party,268
PREM SWAROOP,Manav Kranti Party,243
None of the Above,None of the Above,2307
