Candidate,Party,Votes
DAYARAM CHAUDHARY,Bharatiya Janata Party,92697
MAHENDRA NATH YADAV,Samajwadi Party,50103
JITENDRA KUMAR ALIAS NANDU CHAUDHARY,Bahujan Samaj Party,49538
RAJA ASHWARYA RAJ SINGH,Rashtriya Lok Dal,4152
GAURI SHANKER SUT PAL ALIAS AMARPAL SINGH,Nirbal Indian Shoshit Hamara Aam Dal,1707
SUDHA VISHNUDUTT OJHA,Shivsena,1483
K. K. TIWARI,Communist Party of India  (Marxist),1327
RAKESH SRIVASTAV,Independent,1243
NEELAM SINGH,Independent,853
KRISHNA KUMAR UPADHYAY,Independent,787
SUDHA DEVI,Akhil Bharat Samagra Kranti Party,486
DR. R. J.  CHAUDHARY,Shoshit Samaj Dal,442
RAM PRASAD CHAURASIYA ADVOCATE,Most Backward Classes Of India,364
RAJU,Jan Adhikar Party,234
None of the Above,None of the Above,1206
