Candidate,Party,Votes
NARESH SAINI,Indian National Congress,97035
MAHAVEER SINGH RANA,Bharatiya Janata Party,71449
MOHD. IQBAL,Bahujan Samaj Party,71019
RANA ADITYA PRATAP SINGH,Independent,4187
KAMRAN ALI,Bharti Samudaya Party,1255
ARUN,Rashtriya Lok Dal,1150
HARDHYAN,Independent,1113
GOPAL SINGH,Independent,945
KRISHNA KUMAR,Independent,810
KALYAN SINGH,Independent,659
LOKESH VERMA,Bhartiya Tarak Samaj Party,617
SAKEEM KHAN,Bahujan Mukti Party,425
KARM SINGH,Independent,319
None of the Above,None of the Above,1576
