Candidate,Party,Votes
DHANANJAY KANNOUJIA,Bharatiya Janata Party,77504
GORAKH PASWAN,Samajwadi Party,59185
GHOORA RAM,Bahujan Samaj Party,47297
DHEERENDRA KUMAR,Rashtriya Lok Dal,1031
SHIVKUMARI,Independent,750
RAM LAKHAN,Independent,488
BARAKHU RAM,Gondvana Gantantra Party,479
BINDUMATI,Independent,477
TARA DEVI,Purvanchal Janta Dal,255
SONI,Manav Kranti Party,233
RAM SHARIK ADVOCATE,Bahujan Mukti Party,229
PANKAJ,Independent,223
SHAILENDRA,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),218
RAMLAL RAHI,Jan Adhikar Party,204
None of the Above,None of the Above,1305
