Candidate,Party,Votes
RAVINDRA NATH TRIPATHI,Bharatiya Janata Party,79519
ZAHID BEG,Samajwadi Party,78414
RANGNATH MISHRA,Bahujan Samaj Party,56555
DR. R.K. PATEL,Nirbal Indian Shoshit Hamara Aam Dal,11433
RAMDHANI YADAV,Bahujan Mukti Party,1354
KHUSHIYAL CHANDRA,Independent,1140
TASAUWAR,Independent,1115
KAMLA,Shoshit Sandesh Party,916
KAPILMUNI SHUKLA,Independent,859
JAGANNATH MAURYA,Communist Party of India  (Marxist),805
DR. AKHILESH KUMAR DWIVEDI,Rashtriya Lok Dal,710
SURESH GAUTAM,Independent,630
NISHA,Independent,572
RAGHURAJ PAL,Bharatiya Eklavya Party,569
MAHENDRA KUMAR GOND,Gondvana Gantantra Party,565
JAY RAM PANDEY,Lok Dal,559
RAJESH KUMAR VISHWKARMA,Pragatisheel Manav Samaj Party,546
PANKAJ KUMAR,Ojaswi Party,529
DINESH KUMAR TIWARI,Sampoorna Samaj Party,481
BHARAT,Shivsena,441
RAMJEET,Communist Party of India  (Marxist-Leninist)  (Liberation),415
VALIULLAH ENGINEER,Bahujan Awam Party,310
SARITA,Jan Adhikar Party,251
None of the Above,None of the Above,830
