Candidate,Party,Votes
HRIDAY NARAYAN DIKSHIT,Bharatiya Janata Party,103698
SHASHANK SHEKHAR SINGH,Bahujan Samaj Party,50332
ANKIT PARIHAR,Indian National Congress,49605
KRIPA SHANKAR SINGH,Lok Dal,18988
ARJUN SINGH,Bhartiya Shakti Chetna Party,1636
VINAY KUMARI SINGH,Rashtriya Lok Dal,1426
RAMESHWAR,Independent,1342
SUKHDEV,Swarajya Party Of India,1096
SHYAM KUMAR,Jan Adhikar Manch,1069
RAM KUMAR PAL,Rashtriya Samaj Paksha,818
NAGENDRA,Bahujan Mukti Party,808
SHAILENDRA SINGH,RASHTRIYA VIKLANG PARTY,787
None of the Above,None of the Above,2730
