Candidate,Party,Votes
ASHUTOSH,Samajwadi Party,61862
JAYNATH KUSHWAHA URF GUDDAN,Bharatiya Janata Party,50765
SABHAKUNWAR,Bahujan Samaj Party,44161
ASHWANI KUMAR SINGH,Independent,13497
RAM PRAVESH YADAV,Independent,1421
BASADEV,Rashtriya Lok Dal,1223
SANTOSH KUMAR,Independent,1122
DAYANAND,Apna Dal United Party,1023
JITENDRA,Independent,949
MAHESH,Independent,917
SADHUSARAN,Communist Party of India  (Marxist),860
AMARNATH,Communist Party of India  (Marxist-Leninist)  (Liberation),580
VINDYACHAL,Republican Party of India,561
BHARTENDU URF MARTAND,Naitik Party,485
None of the Above,None of the Above,2039
