Candidate,Party,Votes
VINOD KUMAR KATIYAR,Bharatiya Janata Party,71466
DHARMPAL SINGH BHADAURIA,Bahujan Samaj Party,52461
YOGENDRA PAL SINGH,Samajwadi Party,48181
JUNED KHAN,Peace Party,18380
AJAY SINGH BHADAURIA,Nirbal Indian Shoshit Hamara Aam Dal,11415
NEETAM SACHAN,Indian National Congress,2833
DHARAMPAL SINGH,Independent,1018
COL VINOD KUMAR (RETD),Bharat (Integrated) Rakshak Party,962
DEEWAN SINGH,Bhartiya Shakti Chetna Party,918
SUNDAR LAL KISAN,Independent,755
NEERAJ SHUKLA,Independent,693
OM PRAKASH,Bahujan Mukti Party,662
JAGRAM SINGH,Independent,554
KILKIL SACHAN,Independent,485
MAHENDRA SINGH,National Apni Party,319
None of the Above,None of the Above,1565
