Candidate,Party,Votes
BAHORAN LAL MAURYA,Bharatiya Janata Party,100381
SHAZIL ISLAM ANSARI,Samajwadi Party,72617
SULEMAN BEG,Bahujan Samaj Party,49882
SHER ALI ZAFRI,Ittehad-E-Millait Council,6494
GAJENDER KUMAR,Rashtriya Lok Dal,1388
MAHESH CHANDRA,Sarv Sambhaav Party,1159
MUNENDRA KUMAR,Independent,1157
ANEES KHAN,Independent,1093
DORI LAL KASHYAP,Jan Shakti Ekta Party,911
NOOR JAHAN JAFRI,Independent,609
DEVDATT GANGWAR,Independent,602
RAJENDRA PAL,Bharatiya Subhash Sena,575
None of the Above,None of the Above,1763
