Candidate,Party,Votes
NAGENDRA SINGH RATHORE,Bharatiya Janata Party,93673
ARSHAD JAMAL SIDDIQUI,Samajwadi Party,58796
NITIN SINGH JAIMINI RAJPUT,Bahujan Samaj Party,25838
URMILA,Lok Dal,2116
DALGANJAN SINGH,Independent,994
JAGPAL,Independent,958
JALALUDDIN,Independent,769
AJAJ AHAMAD,Independent,686
DHARMENDRA SINGH PAL,Jan Adhikar Manch,530
VISHRAM SINGH,Rashtriya Lok Dal,524
AVNEET KUMAR,Independent,501
REETA,Independent,449
MO. TAMJEED,Peace Party,371
ARVIND KUMAR,Independent,221
RAMTIRTH,Bharatiya Subhash Sena,193
ARVIND,Independent,182
SAYED ANWAR ALI,Rashtravyapi Janta Party,177
SHAILENDRA SINGH,Independent,154
SRINIVAS,Poorna Swaraj Manch,142
VIJAY LAXMI,Bahujan Mukti Party,135
None of the Above,None of the Above,299
