Candidate,Party,Votes
MOHD. FAEEM,Samajwadi Party,85682
SURESH SAINI,Bharatiya Janata Party,72241
RISHIPAL SINGH,Bahujan Samaj Party,60976
ARIF HUSAIN,Peace Party,2666
ANIL CHAUDHARY,Rashtriya Lok Dal,2493
YOGENDRA SINGH,Independent,1278
RATANPAL,Independent,790
WASEEM AHMAD,Independent,704
MOHD MOHSIN KAMAL,Independent,306
HARI SINGH,Bharatiya Subhash Sena,269
DINESH SHARMA,Independent,220
VIJAY SINGH,Bharatiya Momin Front,218
ANANDI,Independent,150
None of the Above,None of the Above,1123
