Candidate,Party,Votes
ASHISH KUMAR SINGH ASHU,Bharatiya Janata Party,83405
SUBHASH PAL,Samajwadi Party,75380
ANURAG MISHRA,Bahujan Samaj Party,51502
ABDUL AZIZ,All India Majlis-E-Ittehadul Muslimeen,2716
VIMAL SINGH PATEL,Independent,1569
RAM SENEHI SRIVASTAV,Independent,1336
ABDUL RAUF,Rashtriya Lok Dal,846
MAHESH PRASAD,Independent,567
ABHISHEK PATEL,Bhartiya Krishak Dal,559
HARISH CHANDRA YADAV,Independent,514
ASHWANI  KUMAR,Peace Party,376
SURAJ BALI,Bharatiya Subhash Sena,364
DEVI CHARAN,Independent,344
RAMDIN RATHAUR,Jan Adhikar Manch,302
NEELAM,Bahujan Maha Party,185
None of the Above,None of the Above,1826
