Candidate,Party,Votes
KARAN SINGH PATEL,Bharatiya Janata Party,97996
RAMESHWAR DAYAL,Samajwadi Party,41618
SUKHDEV PRASAD VERMA,Bahujan Samaj Party,32297
ABHIMANYU SINGH,Indian National Congress,2002
AMARJEET SINGH JANSEWAK,Lok Dal,1745
SHAHEEN HASAN,Rashtriya Lok Dal,1561
SEWALAL SONKAR,Independent,1540
ACHARYA SUBHASH CHANDRA TRIPATHI,Akhil Bhartiya Swarajya Dal,1493
RAMBABU,Jay Hind Jay Bharat Party,608
RITA DEVI,Bahujan Mukti Party,542
MUBARAK ALI,Fauji Janta Party,427
None of the Above,None of the Above,2142
