Candidate,Party,Votes
ABHIJEET SINGH SANGA,Bharatiya Janata Party,113289
MUNINDRA SHUKLA,Samajwadi Party,54302
RAM PRAKASH KUSHWAHA,Bahujan Samaj Party,53586
PUNEET KUMAR,Bhartiya Shakti Chetna Party,1337
KARAN SINGH,Rashtriya Lok Dal,1270
VISHAL,Independent,1180
RAVINDRA KUMAR,Independent,683
NEERAJ KUMAR,Independent,609
SHAILENDRA,Independent,607
PUSHPA,Jay Hind Jay Bharat Party,520
PAWAN KUMAR SINGH,Independent,374
SURENDRA RAJPOOT,Shivsena,366
SHAILENDRI KUSHWAHA,Jan Adhikar Manch,312
SHASHI DEVI,Voters Party  International,209
None of the Above,None of the Above,1900
