Candidate,Party,Votes
UMESH MALIK,Bharatiya Janata Party,97781
PRAMOD TYAGI,Samajwadi Party,84580
SAEEDA BEGAM,Bahujan Samaj Party,30034
YOGRAJ SINGH,Rashtriya Lok Dal,23732
SHOBHA RAM,Independent,699
MOHD. RASHEED KASSAR,Independent,666
DINESH KUMAR,Nirbal Indian Shoshit Hamara Aam Dal,611
JAMEEL,National Lokmat Party,400
MANOJ,Rashtriya Kisan Majdoor Party,361
RIZWAN,Independent,276
CH. RAJKUMAR BALIYAN,Independent,222
SUMAT PAL KASHYAP,Shivsena,145
JAGAPAL,Independent,136
ANIL,Independent,106
MOHD. GULAFAM,Independent,81
None of the Above,None of the Above,1286
