Candidate,Party,Votes
FATEH BAHADUR,Bharatiya Janata Party,91636
CHINTA YADAV,Indian National Congress,58782
ANAND NISHAD,Bahujan Samaj Party,39243
MOHAMAD MAINUDDIN,Nirbal Indian Shoshit Hamara Aam Dal,10935
GORAKH SINGH,Rashtriya Lok Dal,7265
SRIKANT GUPTA SAHU,Nationalist Congress Party,1681
ASHOK,Independent,897
AKHTAR,Independent,882
SATISH CHANDRA GOND,Bahujan Mukti Party,740
VINOD,Lok Dal,694
RAMPAL,Independent,594
MAHESH KUMAR,Rashtriya Krantikari Samajwadi Party,563
DINESH NISHAD,Rashtriya mahan Gantantra Party,501
MRITUNJAY KUMAR MAURYA,Jan Adhikar Party (Loktantrik),491
None of the Above,None of the Above,1806
