Candidate,Party,Votes
SANJAY KUMAR,Bharatiya Janata Party,85713
TALAT AZIM,Indian National Congress,45597
MOHD  ASIF JAFRI,Bahujan Samaj Party,43776
SHIKHA SAROJ,Independent,6260
SUBHASH CHANDRA,Independent,4557
ROOPCHAND,Independent,2625
NARENDRA KUMAR MAURYA,Bahujan Mukti Party,2432
ARUN KUMAR,Rashtriya Janadhar  Party,1799
HARIHAR SINGH,Rashtriya Kisan Majdoor Party,1635
VIJAY KUMAR RAMDAS RAVIDAS,Independent,1632
MOHD. FAROOQUE,Independent,923
LALBAHADUR,Jan Kalyan Party,854
CHANDRIKA PRASAD RAJPASI,Bharat Kranti Rakshak Party,699
ASHARFI,Rashtriya Bahujan Congress Party,648
TEJSINGH VARMA,Swatantra Jantaraj Party,621
RAM BISHAL PASWAN,Republican Party of India (A),611
QAMAR SAEED,Bahujan Samaj Vikas Party,581
DHARMENDRA DUTT PANDEY,Bhartiya Shakti Chetna Party,550
MANOJ KUMAR TRIPATHI,Rashtravyapi Janta Party,490
None of the Above,None of the Above,1352
