Candidate,Party,Votes
BRIJBHUSHAN RAJPOOT ALIAS GUDDU BHAIYA,Bharatiya Janata Party,98360
URMILA DEVI,Samajwadi Party,54346
JITENDRA KUMAR MISHRA,Bahujan Samaj Party,47408
HEMLATA KUSHWAHA,Jan Adhikar Manch,2178
SUSHEEL KUMAR,Bhartiya Shakti Chetna Party,2023
DILIP SINGH,Rashtriya Lok Dal,1627
ARJUN SINGH,Independent,1269
PREMCHANDRA,Independent,1261
LAXMI PRASAD,Independent,1061
RAMBHUVAN SINGH ALIAS PRABHAT,Independent,754
KUNWAR LAL,Independent,643
None of the Above,None of the Above,2775
