Candidate,Party,Votes
SANGEETA YADAV,Bharatiya Janata Party,87863
MANUROJAN YADAV,Samajwadi Party,42203
JAI PRAKASH,Bahujan Samaj Party,37478
ISHVAR CHAND,Nirbal Indian Shoshit Hamara Aam Dal,13048
DUDHNATH KEWAT,Nationalist Congress Party,2045
AMAR SINGH PASWAN,Bahujan Mukti Party,1340
RAKESH,Independent,1268
FAKHRUDDIN ALI,Independent,882
ADYA,Rashtriya Lok Dal,846
BHOLA PRASAD,Gondvana Gantantra Party,831
SURESH,Independent,757
SARVADANAND,Manuvadi Party,627
DAYA  SHANKAR NISHAD,Rashtriya mahan Gantantra Party,611
VIRENDRA TIWARI,Shivsena,556
VIRENDRA VIKRAM SINGH,Independent,539
AMIT DUBEY URF CHANDAN,Independent,449
RAMKISHUN,Lok Dal,390
RAJAN YADAV URF ARTHI BABA,Independent,383
BAIJNATH VERMA,Bhartiya  Sarvjan Party,259
SURBJIT,Independent,199
None of the Above,None of the Above,1150
