Candidate,Party,Votes
RAVENDRA PAL SINGH,Bharatiya Janata Party,110738
THAKUR RAKESH SINGH,Samajwadi Party,54604
SAGIR,Bahujan Samaj Party,53859
JAI PRAKASH PAL,Jan Adhikar Manch,2508
HEMANT KUMAR SINGH,Independent,1153
MANOJ YADAV,Rashtriya Lok Dal,1010
LAXMAN SINGH YADAV,Lok Dal,974
SUNIL DUTT SHARMA,Independent,675
LOKENDRA PAL SINGH,Independent,627
MUNESH KUMAR SHARMA,Independent,475
RAM KALI,Independent,471
DHARAM SINGH,Independent,261
DR MAHENDRA SINGH ALIAS MAHENDRA KUMAR,Manav Hit Party,233
RADHA,Samtawadi Republican Party,162
None of the Above,None of the Above,1250
