Candidate,Party,Votes
ARCHANA PANDEY,Bharatiya Janata Party,112209
TAHIR HUSSAIN SIDDIQUI,Bahujan Samaj Party,74985
ARVIND SINGH,Samajwadi Party,72663
MEERA DEVI,Independent,1287
TASKEEN,Independent,989
UMESH CHANDRA,Independent,968
SANJEEV KUMAR,Independent,837
UMASHANKAR,Manuvadi Party,612
VIVEK KUMAR,Jan Adhikar Manch,570
RAJESH KUMAR SINGH,Bharatiya Subhash Sena,523
ASHISH,Independent,500
KUSUM,Bahujan Mukti Party,292
ARCHANA,Independent,263
SURENDRA SINGH,Sabka Dal United,195
None of the Above,None of the Above,1861
