Candidate,Party,Votes
CHANDRIKA PRASAD UPADHYAY,Bharatiya Janata Party,90366
VEER SINGH,Samajwadi Party,63430
JAGDISH PRASAD GAUTAM,Bahujan Samaj Party,47780
AMIT YADAV,Communist Party of India,3378
UGRASEN,Nirbal Indian Shoshit Hamara Aam Dal,2679
CHHEDILAL,Jan Adhikar Manch,2543
CHANDRA KISHOR DWIVEDI,Akhil Bharat Hindu Mahasabha,1746
ASHISH SINGH,Rashtriya Lok Dal,1237
SHIVA KANT SHASTRI,Independent,1186
DURGESH,Bahujan Mukti Party,1147
SATYNARAYAN,Independent,1136
CHANDAN SINGH,Swatantra Jantaraj Party,1042
None of the Above,None of the Above,3529
