Candidate,Party,Votes
ANURAG SINGH,Bharatiya Janata Party,105608
JAGTAMBA SINGH PATEL,Samajwadi Party,43380
ANMOL SINGH,Bahujan Samaj Party,39067
RAMRAJ SINGH PATEL,Independent,17009
SARVESH KUMAR SINGH ALIAS RAJA BHAIYA,Independent,3898
AJIT,Moulik Adhikar Party,1621
DOCTOR MEERA,Independent,780
BHAKT PRAKASH,Communist Party of India  (Marxist-Leninist)  (Liberation),664
RAMASHANKAR SINGH,Independent,530
MUMTAZ RAYEEN ALIAS WHITE BABA,Independent,514
RANAJEET KHARWAR (BABA),Republican Party of India (A),503
SHARADA PRASAD BAUDH,Uttar Pradesh Republican Party,488
None of the Above,None of the Above,2541
